,exchanges,hours,last_exchange,members,offers,requests,timebank
141,19,170,2 weeks 4 days ago,52,3,6,togetherwecan
142,136,317,24 weeks 7 hours ago,41,15,15,tullyarea
143,none (start up),none (start up),none (start up),2,0,0,ubuntu
144,1993,7460,5 hours 54 min ago,329,5,2,udc
145,186,670,4 weeks 6 days ago,94,13,19,unityexchange
146,none (start up),none (start up),none (start up),2,0,0,uva
147,112,217,3 years 3 days ago,36,0,0,villagece
148,1913,4686,20 weeks 15 min ago,245,12,10,waikato
149,159,324,1 week 34 min ago,62,67,66,wairarapa
150,227,372,48 weeks 2 days ago,44,2,3,waitaki
151,57,920,28 weeks 17 hours ago,55,3,3,wanaka
152,8517,21880,16 hours 43 min ago,593,78,103,wellingtonsouth
153,35,61,25 weeks 5 days ago,19,2,3,westprairievillage
154,3429,9794,3 hours 53 min ago,405,61,82,westseattle
155,1,1,1 year 31 weeks ago,10,0,0,wncw
156,20,30,2 years 29 weeks ago,25,0,0,wecompassionatecommunity
157,158,1058,6 days 4 hours ago,151,10,9,york
