cat_id,cat_parent,category,count_offers,timebank,timestamp
210,4,Co-op Hours,1,brattleboro,2019-01-22 09:37:50
39,4,Miscellaneous,5,brattleboro,2019-01-22 09:37:50
37,4,Special Projects,2,brattleboro,2019-01-22 09:37:50
38,4,Work For Social Change,2,brattleboro,2019-01-22 09:37:50
3,is_parent,Companionship,5,brattleboro,2019-01-22 09:37:50
27,3,Dining Out,1,brattleboro,2019-01-22 09:37:50
29,3,Home Visits,1,brattleboro,2019-01-22 09:37:50
32,3,Miscellaneous,3,brattleboro,2019-01-22 09:37:50
7,is_parent,Education,7,brattleboro,2019-01-22 09:37:50
55,7,Classes / Workshops,1,brattleboro,2019-01-22 09:37:50
56,7,Computers / Technology,2,brattleboro,2019-01-22 09:37:50
57,7,Languages / Translation,1,brattleboro,2019-01-22 09:37:50
60,7,Miscellaneous,2,brattleboro,2019-01-22 09:37:50
59,7,Tutoring / Mentoring,3,brattleboro,2019-01-22 09:37:50
2,is_parent,Help At Home,22,brattleboro,2019-01-22 09:37:50
9,2,Child Care,1,brattleboro,2019-01-22 09:37:50
20,2,Cooking ,3,brattleboro,2019-01-22 09:37:50
2,2,Hair & Beauty,2,brattleboro,2019-01-22 09:37:50
25,2,Miscellaneous,11,brattleboro,2019-01-22 09:37:50
23,2,Pet Care,6,brattleboro,2019-01-22 09:37:50
212,2,Sewing,2,brattleboro,2019-01-22 09:37:50
36,is_parent,Help Our Time Bank,2,brattleboro,2019-01-22 09:37:50
232,36,Buddy Help,1,brattleboro,2019-01-22 09:37:50
352,36,Event Help & Planning,1,brattleboro,2019-01-22 09:37:50
9,is_parent,Home,16,brattleboro,2019-01-22 09:37:50
68,9,Car Care,1,brattleboro,2019-01-22 09:37:50
69,9,Carpentry / Construction,1,brattleboro,2019-01-22 09:37:50
209,9,Computer & Tech Help,3,brattleboro,2019-01-22 09:37:50
70,9,Electrical,2,brattleboro,2019-01-22 09:37:50
7,9,"Garden, Yard, and Farm Work",4,brattleboro,2019-01-22 09:37:50
74,9,Miscellaneous,5,brattleboro,2019-01-22 09:37:50
2,9,Snow Removal,1,brattleboro,2019-01-22 09:37:50
8,is_parent,"Arts, Crafts & Music",1,bridge2rocks,2019-01-22 09:37:50
62,8,Crafts,1,bridge2rocks,2019-01-22 09:37:50
0,is_parent,Business Services,3,bridge2rocks,2019-01-22 09:37:50
76,0,Computer Support,1,bridge2rocks,2019-01-22 09:37:50
79,0,Marketing,1,bridge2rocks,2019-01-22 09:37:50
8,0,Miscellaneous,2,bridge2rocks,2019-01-22 09:37:50
4,is_parent,Community Activities,1,bridge2rocks,2019-01-22 09:37:50
38,4,Work For Social Change,1,bridge2rocks,2019-01-22 09:37:50
3,is_parent,Companionship,0,bridge2rocks,2019-01-22 09:37:50
7,is_parent,Education,7,bridge2rocks,2019-01-22 09:37:50
54,7,Advocacy,1,bridge2rocks,2019-01-22 09:37:50
55,7,Classes / Workshops,1,bridge2rocks,2019-01-22 09:37:50
56,7,Computers / Technology,3,bridge2rocks,2019-01-22 09:37:50
57,7,Languages / Translation,1,bridge2rocks,2019-01-22 09:37:50
60,7,Miscellaneous,2,bridge2rocks,2019-01-22 09:37:50
59,7,Tutoring / Mentoring,3,bridge2rocks,2019-01-22 09:37:50
2,is_parent,Help At Home,7,bridge2rocks,2019-01-22 09:37:50
20,2,Cooking,1,bridge2rocks,2019-01-22 09:37:50
2,2,Hair & Beauty,2,bridge2rocks,2019-01-22 09:37:50
25,2,Miscellaneous,3,bridge2rocks,2019-01-22 09:37:50
23,2,Pet Care,1,bridge2rocks,2019-01-22 09:37:50
