timebank,sponsor,phone,url_2,facebook,twitter,mission_word_count,mission_sentiment,notes_word_count,notes_sentiment,avg_daily_exchanges,avg_daily_hours,hours_per_exchange,avg_offers,avg_requests,offer_request_ratio,members_starting,members_daily_new,facebook_likes,facebook_followers,twitter_tweets,twitter_following,twitter_followers,categories_total,categories_parent,categories_with_offers,categories_with_requests,talent_per_cat_per_member
katytx,0.0,1.0,1.0,0.0,0.0,61.0,0.9509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crookedriver,0.0,1.0,0.0,1.0,1.0,38.0,0.8834,0.0,0.0,6.526315789473684,17.81578947368421,2.729838709677419,250.31578947368422,271.57894736842104,0.9217054263565893,432.0,-2.236842105263158,672.0,671.0,221.0,303.0,213.0,89.0,11.0,0.3707865168539326,0.33707865168539325,0.5211624794958128
danvilledollars,0.0,1.0,0.0,0.0,0.0,23.0,0.8658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,11.0,0.0,0.0,0.8636363636363636
dc,0.0,1.0,0.0,1.0,1.0,17.0,0.4588,0.0,0.0,0.0,0.0,0.0,42.71052631578947,37.60526315789474,1.1357592722183343,219.0,0.15789473684210525,613.0,614.0,281.0,42.0,348.0,85.0,11.0,0.25882352941176473,0.11764705882352941,0.34294472650637037
dhe,0.0,1.0,0.0,0.0,0.0,21.0,0.6249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,-2.4473684210526314,0.0,0.0,0.0,0.0,0.0,73.0,11.0,0.0,0.0,0.20044784611713745
denton,0.0,1.0,0.0,0.0,0.0,20.0,0.8934,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,11.0,0.013513513513513514,0.0,0.26573426573426573
dunedin,1.0,1.0,1.0,1.0,0.0,15.0,0.34,0.0,0.0,1.605263157894737,7.105263157894737,4.426229508196721,34.0,33.8421052631579,1.004665629860031,100.0,0.15789473684210525,720.0,717.0,0.0,0.0,0.0,92.0,11.0,0.25,0.21739130434782608,0.5659207459207459
durham,1.0,1.0,0.0,0.0,0.0,32.0,0.2732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,11.0,0.0,0.0,0.2840909090909091
eann,0.0,1.0,0.0,0.0,0.0,54.0,0.5023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0
earn,0.0,1.0,0.0,1.0,0.0,49.0,0.8225,0.0,0.0,0.0,0.0,0.0,10.18421052631579,14.0,0.7274436090225563,94.0,0.0,39.0,40.0,0.0,0.0,0.0,87.0,13.0,0.13793103448275862,0.12643678160919541,0.2855973813420622
eastbay,0.0,1.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.47368421052631576,0.5526315789473685,1.1666666666666667,33.0,31.342105263157894,1.0528967254408061,192.0,-0.05263157894736842,297.0,287.0,0.0,0.0,0.0,84.0,13.0,0.17857142857142858,0.13095238095238096,0.16446827744904666
fablabchch,1.0,1.0,0.0,0.0,0.0,18.0,-0.2263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
