timebank,sponsor,phone,url_2,facebook,twitter,mission_word_count,mission_sentiment,notes_word_count,notes_sentiment,avg_daily_exchanges,avg_daily_hours,hours_per_exchange,avg_offers,avg_requests,offer_request_ratio,members_starting,members_daily_new,facebook_likes,facebook_followers,twitter_tweets,twitter_following,twitter_followers,categories_total,categories_parent,categories_with_offers,categories_with_requests,talent_per_cat_per_member
bc-historyofmoney,0.0,1.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,11.0,0.0,0.0,0.1378299120234604
hopexchange,0.0,1.0,1.0,0.0,0.0,83.0,0.9382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0
hour4ourworld,0.0,1.0,0.0,0.0,0.0,294.0,0.9983,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,14.0,0.0,0.046153846153846156,0.13265306122448978
hourcommunityinterfaith,1.0,1.0,0.0,0.0,0.0,25.0,0.7783,0.0,0.0,0.0,0.0,0.0,19.0,19.0,1.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,15.0,0.060240963855421686,0.10843373493975904,0.22456140350877193
isiinc,1.0,1.0,1.0,0.0,0.0,183.0,0.9951,0.0,0.0,0.21428571428571427,0.21428571428571427,1.0,9.0,9.0,1.0,50.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,73.0,11.0,0.1095890410958904,0.0,0.3018181818181818
jeffersoncommunity,1.0,1.0,1.0,0.0,0.0,24.0,0.891,0.0,0.0,0.0,0.0,0.0,8.0,8.0,1.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,11.0,0.1527777777777778,0.0,0.19146005509641872
jerseyshore,0.0,1.0,1.0,0.0,0.0,12.0,0.5994,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,11.0,0.09333333333333334,0.0,0.3464373464373464
kaitaia,0.0,1.0,0.0,1.0,0.0,40.0,0.9413,0.0,0.0,1.5,6.428571428571429,4.285714285714286,74.26666666666667,82.13333333333334,0.9042207792207791,119.0,0.42857142857142855,514.0,518.0,0.0,0.0,0.0,86.0,11.0,0.3372093023255814,0.23255813953488372,0.4171122994652406
kapiti50,0.0,1.0,0.0,0.0,0.0,33.0,0.5983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,11.0,0.0,0.0,0.6666666666666666
klc,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0
khokha,1.0,1.0,1.0,0.0,0.0,32.0,0.6908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
letsbmore,0.0,1.0,1.0,1.0,1.0,8.0,0.4404,0.0,0.0,0.0,0.0,0.0,15.0,20.0,0.75,120.0,0.07142857142857142,153.0,152.0,43.0,29.0,29.0,86.0,11.0,0.16279069767441862,0.09302325581395349,0.2477272727272727
margination,1.0,1.0,0.0,0.0,0.0,22.0,0.7269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,5.0,0.0,0.0,1.1636363636363638
meadville,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,11.0,0.0,0.0,0.06060606060606061
