timestamp,timebank,facebook,facebook_likes,facebook_followers,twitter,twitter_joined_date,twitter_tweets,twitter_following,twitter_followers
2019-02-03 12:45:00,frederick,https://www.facebook.com/FrederickTimeBank/,70,72,,,,,
2019-02-03 12:45:00,ghoodcalgary,https://www.facebook.com/ghoodhub/,page unavailable,page unavailable,https://twitter.com/ghoodhub,2017-04,1,7,1
2019-02-03 12:45:00,karma,,,,,,,,
2019-02-03 12:45:00,globetable,,,,,,,,
2019-02-03 12:45:00,goodneighborstb,https://www.facebook.com/GoodNeighborsTB/,134,138,,,,,
2019-02-03 12:45:00,scgm,,,,,,,,
2019-02-03 12:45:00,greatbay,,,,,,,,
2019-02-03 12:45:00,gct,,,,,,,,
2019-02-03 12:45:00,greaterheights,,,,,,,,
2019-02-03 12:45:00,gwtb,,,,,,,,
2019-02-03 12:45:00,choptank,,,,,,,,
2019-02-03 12:45:00,healthyoutcomeswin,,,,,,,,
2019-02-03 12:45:00,bc-historyofmoney,,,,,,,,
2019-02-03 12:45:00,hopexchange,,,,,,,,
2019-02-03 12:45:00,hour4ourworld,,,,,,,,
2019-02-03 12:45:00,hourcommunityinterfaith,,,,,,,,
2019-02-03 12:45:00,isiinc,,,,,,,,
2019-02-03 12:45:00,jeffersoncommunity,,,,,,,,
2019-02-03 12:45:00,jerseyshore,,,,,,,,
2019-02-03 12:45:00,kaitaia,http://facebook.com/kaitaiatimebank,514,518,,,,,
2019-02-03 12:45:00,kapiti50,,,,,,,,
2019-02-03 12:45:00,klc,,,,,,,,
2019-02-03 12:45:00,khokha,,,,,,,,
2019-02-03 12:45:00,letsbmore,https://www.facebook.com/letsbmore,153,152,https://twitter.com/letsbmore,2012-03,43,29,29
2019-02-03 12:45:00,margination,,,,,,,,
2019-02-03 12:45:00,meadville,,,,,,,,
2019-02-03 12:45:00,midcanterbury,https://www.facebook.com/mctimebank/,383,399,,,,,
2019-02-03 12:45:00,mk,,,,,,,,
2019-02-03 12:45:00,mttimeexchange,,,,,,,,
2019-02-03 12:45:00,murihiku,https://www.facebook.com/MurihikuTimeExchange/,page unavailable,page unavailable,,,,,
2019-02-03 12:45:00,mwdi,,,,,,,,
2019-02-03 12:45:00,nbnneighborhoodnetwork,https://www.facebook.com/nbnneighborhood/,page unavailable,page unavailable,https://twitter.com/BetterNeighbors,2011-03,362,221,130
2019-02-03 12:45:00,piedmont,,,,,,,,
2019-02-03 12:45:00,theneighborhoodvillage,,,,,,,,
2019-02-03 12:45:00,nerd,,,,,,,,
