exchanges,hours,last_exchange,members,offers,requests,timebank,timestamp
1,2,3 years 25 weeks ago,4,0,0,khokha,2019-01-24 09:35:07
72,179,23 weeks 3 days ago,120,15,20,letsbmore,2019-01-24 09:35:07
none (start up),none (start up),none (start up),11,0,0,margination,2019-01-24 09:35:07
5,5,1 year 48 weeks ago,6,0,0,meadville,2019-01-24 09:35:07
1372,4314,5 hours 44 min ago,152,41,78,midcanterbury,2019-01-24 09:35:07
161,414,3 years 15 weeks ago,29,1,1,mk,2019-01-24 09:35:07
2,4,2 years 14 weeks ago,5,0,0,mttimeexchange,2019-01-24 09:35:07
117,371,16 weeks 4 days ago,67,10,5,murihiku,2019-01-24 09:35:07
none (start up),none (start up),none (start up),17,0,0,mwdi,2019-01-24 09:35:07
263,2245,5 weeks 19 hours ago,467,18,9,nbnneighborhoodnetwork,2019-01-24 09:35:07
31,34,18 weeks 3 days ago,18,9,4,piedmont,2019-01-24 09:35:07
none (start up),none (start up),none (start up),3,0,0,theneighborhoodvillage,2019-01-24 09:35:07
53,152,2 years 40 weeks ago,17,0,0,nerd,2019-01-24 09:35:07
201,344,5 days 21 hours ago,127,38,29,nether-swarthmore,2019-01-24 09:35:07
782,2069,6 days 15 hours ago,145,65,59,nrv,2019-01-24 09:35:07
1216,2804,2 weeks 2 days ago,362,156,156,nola,2019-01-24 09:35:07
none (start up),none (start up),none (start up),5,2,2,norman,2019-01-24 09:35:07
none (start up),none (start up),none (start up),3,0,0,ncc,2019-01-24 09:35:07
1613,4291,1 week 10 hours ago,137,35,26,northwestnewjersey,2019-01-24 09:35:07
31,86,3 years 24 weeks ago,87,0,0,oahu,2019-01-24 09:35:07
60,106,9 weeks 3 days ago,40,33,24,ojai,2019-01-24 09:35:07
16451,49340,1 day 14 hours ago,164,198,196,orexchange,2019-01-24 09:35:07
2778,7396,8 weeks 5 days ago,74,8,8,otaki,2019-01-24 09:35:07
10,23,2 years 44 weeks ago,6,1,1,ourcommunity,2019-01-24 09:35:07
49,253,1 year 48 weeks ago,32,0,0,oscab,2019-01-24 09:35:07
160,231,1 year 39 weeks ago,44,14,14,washingtoncountywi,2019-01-24 09:35:07
5,8,3 years 41 weeks ago,19,18,18,pay4wardbank,2019-01-24 09:35:07
11941,41237,12 hours 39 min ago,164,50,68,patb,2019-01-24 09:35:07
177,406,1 day 15 hours ago,24,5,8,porirua,2019-01-24 09:35:07
none (start up),none (start up),none (start up),2,0,0,pridestl,2019-01-24 09:35:07
363,864,1 year 51 weeks ago,77,5,8,projectbunbury,2019-01-24 09:35:07
107,344,1 week 2 days ago,32,42,45,reciprocity,2019-01-24 09:35:07
3,7,1 year 34 weeks ago,12,0,0,rvtb,2019-01-24 09:35:07
none (start up),none (start up),none (start up),5,3,3,scouts,2019-01-24 09:35:07
1959,4531,5 hours 21 min ago,217,120,125,sebastopolarea,2019-01-24 09:35:07
5161,16941,2 years 29 weeks ago,157,0,0,sobrantepark,2019-01-24 09:35:07
120,479,7 hours 54 min ago,23,15,8,springhillfl,2019-01-24 09:35:07
2,29856,27 weeks 5 days ago,9,2,2,spurt,2019-01-24 09:35:07
3277,7751,13 hours 20 min ago,166,179,210,stpete,2019-01-24 09:35:07
2,7,17 weeks 4 days ago,126,5,4,startribehours,2019-01-24 09:35:07
1965,4761,1 day 9 hours ago,51,105,93,swel,2019-01-24 09:35:07
29,149,37 weeks 1 day ago,28,16,9,takomatime,2019-01-24 09:35:07
12,52,46 weeks 2 days ago,12,17,16,taneycounty,2019-01-24 09:35:07
2525,5740,5 hours 32 min ago,292,62,64,taranaki,2019-01-24 09:35:07
1,2,12 weeks 3 days ago,19,1,2,thecommunityproject,2019-01-24 09:35:07
3000,6083,6 hours 45 min ago,266,47,35,huttsouth,2019-01-24 09:35:07
11923,153370,2 days 18 hours ago,860,15,24,lyttelton,2019-01-24 09:35:07
1,2,2 years 13 hours ago,10,1,1,sanctuaryseniorvillage,2019-01-24 09:35:07
4512,7863,6 weeks 2 days ago,65,161,160,tierrasanta,2019-01-24 09:35:07
3,3,3 years 25 weeks ago,18,0,0,galesburgil,2019-01-24 09:35:07
446,1950,1 year 12 weeks ago,209,2,2,westmilford,2019-01-24 09:35:07
468,900,2 days 18 hours ago,119,83,81,stannsbay,2019-01-24 09:35:07
21,42,11 weeks 3 days ago,16,1,4,kaikoura,2019-01-24 09:35:07
4539,28675,3 days 16 hours ago,176,79,84,mainetime,2019-01-24 09:35:07
26,647,12 weeks 3 days ago,24,3,3,newzealand,2019-01-24 09:35:07
95,61,2 years 2 weeks ago,79,1,1,tbfredericton,2019-01-24 09:35:07
none (start up),none (start up),none (start up),2,0,0,tbhawaii,2019-01-24 09:35:07
3434,14912,2 days 19 hours ago,340,19,16,hurunui,2019-01-24 09:35:07
441,2953,13 weeks 3 days ago,165,31,32,mcs1stopindy,2019-01-24 09:35:07
730,1995,4 weeks 2 days ago,87,42,44,manawatu,2019-01-24 09:35:07
3915,16326,29 weeks 1 day ago,349,10,9,media,2019-01-24 09:35:07
722,3117,1 week 1 day ago,9,47,48,nb,2019-01-24 09:35:07
2237,5069,17 hours 16 min ago,114,38,30,raglan,2019-01-24 09:35:07
1696,8175,5 days 10 hours ago,73,27,25,upperhutt,2019-01-24 09:35:07
30,87,3 days 15 hours ago,23,7,7,waimakariri,2019-01-24 09:35:07
