exchanges,hours,last_exchange,members,offers,requests,timebank,timestamp
25,60,22 weeks 2 days ago,38,19,19,hourcommunityinterfaith,2019-01-27 09:44:54
116,117,5 days 22 hours ago,50,9,9,isiinc,2019-01-27 09:44:54
16,49,20 weeks 5 days ago,66,8,8,jeffersoncommunity,2019-01-27 09:44:54
117,189,1 year 4 weeks ago,37,3,3,jerseyshore,2019-01-27 09:44:54
2194,11162,1 day 10 hours ago,119,75,84,kaitaia,2019-01-27 09:44:54
none (start up),none (start up),none (start up),3,0,0,kapiti50,2019-01-27 09:44:54
none (start up),none (start up),none (start up),1,0,0,klc,2019-01-27 09:44:54
1,2,3 years 25 weeks ago,4,0,0,khokha,2019-01-27 09:44:54
72,179,23 weeks 6 days ago,120,15,20,letsbmore,2019-01-27 09:44:54
none (start up),none (start up),none (start up),11,0,0,margination,2019-01-27 09:44:54
5,5,1 year 48 weeks ago,6,0,0,meadville,2019-01-27 09:44:54
1374,4320,6 hours 14 min ago,152,42,80,midcanterbury,2019-01-27 09:44:54
161,414,3 years 15 weeks ago,29,1,1,mk,2019-01-27 09:44:54
2,4,2 years 15 weeks ago,5,0,0,mttimeexchange,2019-01-27 09:44:54
117,371,17 weeks 12 hours ago,67,10,5,murihiku,2019-01-27 09:44:54
none (start up),none (start up),none (start up),17,0,0,mwdi,2019-01-27 09:44:54
263,2245,5 weeks 3 days ago,467,18,9,nbnneighborhoodnetwork,2019-01-27 09:44:54
31,34,18 weeks 6 days ago,18,9,4,piedmont,2019-01-27 09:44:54
none (start up),none (start up),none (start up),3,0,0,theneighborhoodvillage,2019-01-27 09:44:54
53,152,2 years 40 weeks ago,17,0,0,nerd,2019-01-27 09:44:54
201,344,1 week 1 day ago,127,38,28,nether-swarthmore,2019-01-27 09:44:54
783,2071,1 day 2 hours ago,145,64,59,nrv,2019-01-27 09:44:54
1216,2804,2 weeks 5 days ago,362,156,156,nola,2019-01-27 09:44:54
none (start up),none (start up),none (start up),5,2,2,norman,2019-01-27 09:44:54
none (start up),none (start up),none (start up),3,0,0,ncc,2019-01-27 09:44:54
1613,4291,1 week 3 days ago,137,35,26,northwestnewjersey,2019-01-27 09:44:54
31,86,3 years 25 weeks ago,87,0,0,oahu,2019-01-27 09:44:54
60,106,9 weeks 6 days ago,40,32,23,ojai,2019-01-27 09:44:54
16453,49350,1 day 20 hours ago,164,198,198,orexchange,2019-01-27 09:44:54
2778,7396,9 weeks 1 day ago,74,8,8,otaki,2019-01-27 09:44:54
10,23,2 years 45 weeks ago,6,1,1,ourcommunity,2019-01-27 09:44:54
49,253,1 year 49 weeks ago,32,0,0,oscab,2019-01-27 09:44:54
160,231,1 year 39 weeks ago,44,14,14,washingtoncountywi,2019-01-27 09:44:54
5,8,3 years 41 weeks ago,19,18,18,pay4wardbank,2019-01-27 09:44:54
11953,41256,1 day 3 min ago,164,49,66,patb,2019-01-27 09:44:54
177,406,4 days 15 hours ago,24,5,8,porirua,2019-01-27 09:44:54
none (start up),none (start up),none (start up),2,0,0,pridestl,2019-01-27 09:44:54
363,864,1 year 51 weeks ago,77,5,8,projectbunbury,2019-01-27 09:44:54
107,344,1 week 5 days ago,32,43,46,reciprocity,2019-01-27 09:44:54
3,7,1 year 34 weeks ago,12,0,0,rvtb,2019-01-27 09:44:54
none (start up),none (start up),none (start up),5,3,3,scouts,2019-01-27 09:44:54
1968,4546,1 day 9 hours ago,216,122,127,sebastopolarea,2019-01-27 09:44:54
5161,16941,2 years 30 weeks ago,157,0,0,sobrantepark,2019-01-27 09:44:54
125,490,19 hours 59 min ago,23,15,8,springhillfl,2019-01-27 09:44:54
2,29856,28 weeks 1 day ago,9,2,2,spurt,2019-01-27 09:44:54
3300,7797,14 hours 43 min ago,168,179,210,stpete,2019-01-27 09:44:54
2,7,18 weeks 15 hours ago,126,5,4,startribehours,2019-01-27 09:44:54
1965,4761,4 days 9 hours ago,51,106,93,swel,2019-01-27 09:44:54
29,149,37 weeks 4 days ago,28,16,9,takomatime,2019-01-27 09:44:54
12,52,46 weeks 5 days ago,12,17,16,taneycounty,2019-01-27 09:44:54
2532,5763,11 hours 42 min ago,291,63,62,taranaki,2019-01-27 09:44:54
1,2,12 weeks 6 days ago,19,1,2,thecommunityproject,2019-01-27 09:44:54
3002,6086,1 day 8 hours ago,266,47,37,huttsouth,2019-01-27 09:44:54
11925,153372,2 days 6 hours ago,861,15,25,lyttelton,2019-01-27 09:44:54
1,2,2 years 3 days ago,10,1,1,sanctuaryseniorvillage,2019-01-27 09:44:54
4512,7863,6 weeks 5 days ago,65,161,160,tierrasanta,2019-01-27 09:44:54
3,3,3 years 25 weeks ago,18,0,0,galesburgil,2019-01-27 09:44:54
446,1950,1 year 12 weeks ago,209,2,2,westmilford,2019-01-27 09:44:54
479,923,2 hours 3 min ago,119,85,84,stannsbay,2019-01-27 09:44:54
21,42,11 weeks 6 days ago,16,1,4,kaikoura,2019-01-27 09:44:54
4539,28675,6 days 16 hours ago,176,79,84,mainetime,2019-01-27 09:44:54
26,647,12 weeks 6 days ago,24,3,3,newzealand,2019-01-27 09:44:54
95,61,2 years 3 weeks ago,79,1,1,tbfredericton,2019-01-27 09:44:54
none (start up),none (start up),none (start up),2,0,0,tbhawaii,2019-01-27 09:44:54
3436,14916,10 hours 53 min ago,340,19,16,hurunui,2019-01-27 09:44:54
441,2953,13 weeks 6 days ago,165,31,32,mcs1stopindy,2019-01-27 09:44:54
730,1995,4 weeks 5 days ago,87,40,44,manawatu,2019-01-27 09:44:54
3915,16326,29 weeks 4 days ago,349,10,9,media,2019-01-27 09:44:54
727,3136,2 days 2 hours ago,9,54,56,nb,2019-01-27 09:44:54
2239,5071,2 days 13 hours ago,117,39,31,raglan,2019-01-27 09:44:54
1697,8176,2 days 10 hours ago,74,28,26,upperhutt,2019-01-27 09:44:54
30,87,6 days 16 hours ago,23,7,7,waimakariri,2019-01-27 09:44:54
none (start up),none (start up),none (start up),2,0,0,tb13069,2019-01-27 09:44:54
2491,5595,2 days 17 hours ago,184,29,23,tops,2019-01-27 09:44:54
9792,37490,1 min 15 sec ago,655,1,1,korea,2019-01-27 09:44:54
37,63,3 years 34 weeks ago,33,4,4,tlv,2019-01-27 09:44:54
317,1563,2 days 20 hours ago,134,23,29,timeforall,2019-01-27 09:44:54
579,3717,1 year 32 weeks ago,97,4,4,timetradersnorth,2019-01-27 09:44:54
19,170,3 weeks 3 days ago,53,4,6,togetherwecan,2019-01-27 09:44:54
136,317,24 weeks 5 days ago,41,15,15,tullyarea,2019-01-27 09:44:54
none (start up),none (start up),none (start up),2,0,0,ubuntu,2019-01-27 09:44:54
2010,7472,2 days 15 hours ago,329,5,2,udc,2019-01-27 09:44:54
188,683,4 days 8 hours ago,94,13,19,unityexchange,2019-01-27 09:44:54
none (start up),none (start up),none (start up),2,0,0,uva,2019-01-27 09:44:54
112,217,3 years 1 week ago,36,0,0,villagece,2019-01-27 09:44:54
1913,4686,20 weeks 5 days ago,245,12,10,waikato,2019-01-27 09:44:54
159,324,1 week 5 days ago,62,67,66,wairarapa,2019-01-27 09:44:54
227,372,49 weeks 1 day ago,44,2,3,waitaki,2019-01-27 09:44:54
57,920,28 weeks 6 days ago,55,3,3,wanaka,2019-01-27 09:44:54
8523,21897,1 day 6 hours ago,595,78,106,wellingtonsouth,2019-01-27 09:44:54
35,61,26 weeks 3 days ago,17,2,4,westprairievillage,2019-01-27 09:44:54
3450,9836,10 hours 32 min ago,408,59,80,westseattle,2019-01-27 09:44:54
1,1,1 year 32 weeks ago,10,0,0,wncw,2019-01-27 09:44:54
20,30,2 years 30 weeks ago,25,0,0,wecompassionatecommunity,2019-01-27 09:44:54
158,1058,1 week 4 days ago,151,10,9,york,2019-01-27 09:44:54
1133,5998,5 days 7 hours ago,179,36,30,addington,2019-01-28 09:38:41
439,1375,2 years 42 weeks ago,207,0,0,aha,2019-01-28 09:38:41
none (start up),none (start up),none (start up),2,0,0,alticultura,2019-01-28 09:38:41
2,3,3 years 13 weeks ago,8,0,0,andersoncommunity,2019-01-28 09:38:41
1,5,1 year 31 weeks ago,8,4,4,ate,2019-01-28 09:38:41
none (start up),none (start up),none (start up),2,0,0,avl,2019-01-28 09:38:41
2179,4889,6 weeks 1 day ago,58,90,80,atx,2019-01-28 09:38:41
7,14,1 year 47 weeks ago,11,0,0,labodunautilus,2019-01-28 09:38:41
74,384,5 weeks 6 days ago,37,2,2,blackhills,2019-01-28 09:38:41
202,1152,18 hours 37 min ago,178,62,50,ujimaboston,2019-01-28 09:38:41
17422,52418,1 hour 26 sec ago,169,160,193,brattleboro,2019-01-28 09:38:41
1053,6092,7 hours 20 sec ago,172,26,32,bridge2rocks,2019-01-28 09:38:41
10988,26281,17 hours 48 min ago,124,106,118,capeann,2019-01-28 09:38:41
396,913,1 week 1 day ago,50,11,4,care,2019-01-28 09:38:41
5,6,1 year 7 weeks ago,2,0,0,engaging,2019-01-28 09:38:41
834,2044,6 days 21 hours ago,108,31,32,cris,2019-01-28 09:38:41
none (start up),none (start up),none (start up),4,0,0,centraliowa,2019-01-28 09:38:41
56,102,6 weeks 4 days ago,71,14,14,lincolnskillshare,2019-01-28 09:38:41
none (start up),none (start up),none (start up),2,0,0,nzcentralpermaculture,2019-01-28 09:38:41
none (start up),none (start up),none (start up),5,0,0,changexchange,2019-01-28 09:38:41
none (start up),none (start up),none (start up),2,0,0,circlenomic,2019-01-28 09:38:41
none (start up),none (start up),none (start up),8,4,4,citypark,2019-01-28 09:38:41
6308,14397,1 day 18 hours ago,281,124,116,columbia,2019-01-28 09:38:41
6,18,3 weeks 2 days ago,22,6,7,slocanvalley,2019-01-28 09:38:41
625,7712,3 years 38 weeks ago,453,10,9,manasota,2019-01-28 09:38:41
30191,209344,1 week 3 days ago,222,6881,6857,tdn,2019-01-28 09:38:41
380,975,5 days 19 hours ago,18,80,76,cse,2019-01-28 09:38:41
1444,4898,10 hours 23 min ago,58,41,44,communityskillexchange,2019-01-28 09:38:41
69,117,2 days 20 hours ago,93,77,15,richmondcounty,2019-01-28 09:38:41
none (start up),none (start up),none (start up),2,0,0,northfrontenac,2019-01-28 09:38:41
5,22,3 years 20 weeks ago,11,0,0,katytx,2019-01-28 09:38:41
22525,69056,9 hours 57 min ago,328,244,271,crookedriver,2019-01-28 09:38:41
none (start up),none (start up),none (start up),2,0,0,danvilledollars,2019-01-28 09:38:41
361,1080,7 weeks 5 days ago,219,42,38,dc,2019-01-28 09:38:41
405,1285,1 year 8 weeks ago,127,0,0,dhe,2019-01-28 09:38:41
4,5,1 year 25 weeks ago,52,1,1,denton,2019-01-28 09:38:41
645,5341,3 days 13 hours ago,100,33,32,dunedin,2019-01-28 09:38:41
none (start up),none (start up),none (start up),8,0,0,durham,2019-01-28 09:38:41
none (start up),none (start up),none (start up),4,0,0,eann,2019-01-28 09:38:41
227,811,1 week 4 days ago,94,11,14,earn,2019-01-28 09:38:41
5646,19627,6 days 18 hours ago,192,33,32,eastbay,2019-01-28 09:38:41
10,119,2 years 29 weeks ago,6,0,0,fablabchch,2019-01-28 09:38:41
1,1,28 weeks 6 days ago,5,0,1,fairbanks,2019-01-28 09:38:41
3,12,32 weeks 5 days ago,33,1,1,farnorth,2019-01-28 09:38:41
none (start up),none (start up),none (start up),2,0,0,farmster,2019-01-28 09:38:41
1,1,2 years 19 weeks ago,6,0,0,flourish,2019-01-28 09:38:41
723,1603,2 days 18 hours ago,91,46,49,frederick,2019-01-28 09:38:41
1,1,1 year 37 weeks ago,15,0,0,ghoodcalgary,2019-01-28 09:38:41
none (start up),none (start up),none (start up),1,0,0,karma,2019-01-28 09:38:41
none (start up),none (start up),none (start up),2,0,0,globetable,2019-01-28 09:38:41
21,51,1 week 6 days ago,24,11,5,goodneighborstb,2019-01-28 09:38:41
4,13,3 years 6 weeks ago,14,9,9,scgm,2019-01-28 09:38:41
519,1179,6 days 13 hours ago,52,34,36,greatbay,2019-01-28 09:38:41
10,25,3 years 6 weeks ago,8,0,0,gct,2019-01-28 09:38:41
59,99,46 weeks 6 days ago,50,12,12,greaterheights,2019-01-28 09:38:41
326,1282,33 weeks 2 days ago,202,102,103,gwtb,2019-01-28 09:38:41
23,111,12 weeks 4 days ago,9,10,10,choptank,2019-01-28 09:38:41
none (start up),none (start up),none (start up),2,0,0,healthyoutcomeswin,2019-01-28 09:38:41
38,47,2 years 5 weeks ago,31,0,0,bc-historyofmoney,2019-01-28 09:38:41
none (start up),none (start up),none (start up),1,0,0,hopexchange,2019-01-28 09:38:41
49,106,1 year 37 weeks ago,42,3,3,hour4ourworld,2019-01-28 09:38:41
25,60,22 weeks 3 days ago,38,19,19,hourcommunityinterfaith,2019-01-28 09:38:41
116,117,6 days 22 hours ago,50,9,9,isiinc,2019-01-28 09:38:41
16,49,20 weeks 6 days ago,66,8,8,jeffersoncommunity,2019-01-28 09:38:41
117,189,1 year 4 weeks ago,37,3,3,jerseyshore,2019-01-28 09:38:41
2197,11171,12 hours 40 min ago,119,75,84,kaitaia,2019-01-28 09:38:41
none (start up),none (start up),none (start up),3,0,0,kapiti50,2019-01-28 09:38:41
none (start up),none (start up),none (start up),1,0,0,klc,2019-01-28 09:38:41
1,2,3 years 25 weeks ago,4,0,0,khokha,2019-01-28 09:38:41
72,179,24 weeks 22 hours ago,120,15,20,letsbmore,2019-01-28 09:38:41
none (start up),none (start up),none (start up),11,0,0,margination,2019-01-28 09:38:41
5,5,1 year 48 weeks ago,6,0,0,meadville,2019-01-28 09:38:41
1381,4330,11 hours 43 min ago,152,42,80,midcanterbury,2019-01-28 09:38:41
161,414,3 years 15 weeks ago,29,1,1,mk,2019-01-28 09:38:41
2,4,2 years 15 weeks ago,5,0,0,mttimeexchange,2019-01-28 09:38:41
117,371,17 weeks 1 day ago,67,10,5,murihiku,2019-01-28 09:38:41
none (start up),none (start up),none (start up),17,0,0,mwdi,2019-01-28 09:38:41
263,2245,5 weeks 4 days ago,467,18,9,nbnneighborhoodnetwork,2019-01-28 09:38:41
31,34,19 weeks 12 hours ago,18,9,4,piedmont,2019-01-28 09:38:41
none (start up),none (start up),none (start up),3,0,0,theneighborhoodvillage,2019-01-28 09:38:41
53,152,2 years 41 weeks ago,17,0,0,nerd,2019-01-28 09:38:41
201,344,1 week 2 days ago,127,38,28,nether-swarthmore,2019-01-28 09:38:41
783,2071,2 days 2 hours ago,145,64,59,nrv,2019-01-28 09:38:41
1217,2807,9 hours 35 min ago,362,156,156,nola,2019-01-28 09:38:41
none (start up),none (start up),none (start up),5,2,2,norman,2019-01-28 09:38:41
none (start up),none (start up),none (start up),3,0,0,ncc,2019-01-28 09:38:41
1613,4291,1 week 4 days ago,137,35,26,northwestnewjersey,2019-01-28 09:38:41
31,86,3 years 25 weeks ago,87,0,0,oahu,2019-01-28 09:38:41
60,106,10 weeks 13 hours ago,40,32,23,ojai,2019-01-28 09:38:41
16453,49350,2 days 20 hours ago,164,198,198,orexchange,2019-01-28 09:38:41
2778,7396,9 weeks 2 days ago,74,8,8,otaki,2019-01-28 09:38:41
10,23,2 years 45 weeks ago,6,1,1,ourcommunity,2019-01-28 09:38:41
49,253,1 year 49 weeks ago,32,0,0,oscab,2019-01-28 09:38:41
160,231,1 year 40 weeks ago,44,14,14,washingtoncountywi,2019-01-28 09:38:41
5,8,3 years 41 weeks ago,19,18,18,pay4wardbank,2019-01-28 09:38:41
11954,41257,16 hours 6 min ago,164,49,67,patb,2019-01-28 09:38:41
177,406,5 days 15 hours ago,24,5,8,porirua,2019-01-28 09:38:41
none (start up),none (start up),none (start up),2,0,0,pridestl,2019-01-28 09:38:41
363,864,1 year 51 weeks ago,77,5,8,projectbunbury,2019-01-28 09:38:41
107,344,1 week 6 days ago,32,43,46,reciprocity,2019-01-28 09:38:41
3,7,1 year 34 weeks ago,12,0,0,rvtb,2019-01-28 09:38:41
none (start up),none (start up),none (start up),5,3,3,scouts,2019-01-28 09:38:41
1971,4549,7 hours 37 min ago,216,122,126,sebastopolarea,2019-01-28 09:38:41
5161,16941,2 years 30 weeks ago,157,0,0,sobrantepark,2019-01-28 09:38:41
125,490,1 day 19 hours ago,23,15,8,springhillfl,2019-01-28 09:38:41
2,29856,28 weeks 2 days ago,9,2,2,spurt,2019-01-28 09:38:41
3304,7800,11 hours 30 min ago,169,180,213,stpete,2019-01-28 09:38:41
2,7,18 weeks 1 day ago,126,5,4,startribehours,2019-01-28 09:38:41
1965,4761,5 days 9 hours ago,51,106,93,swel,2019-01-28 09:38:41
29,149,37 weeks 5 days ago,28,16,9,takomatime,2019-01-28 09:38:41
12,52,46 weeks 6 days ago,12,17,16,taneycounty,2019-01-28 09:38:41
2539,5780,5 hours 39 min ago,291,64,63,taranaki,2019-01-28 09:38:41
1,2,13 weeks 16 hours ago,19,1,2,thecommunityproject,2019-01-28 09:38:41
3004,6088,10 hours 45 min ago,266,47,36,huttsouth,2019-01-28 09:38:41
11929,153378,17 hours 51 min ago,861,16,26,lyttelton,2019-01-28 09:38:41
1,2,2 years 4 days ago,10,1,1,sanctuaryseniorvillage,2019-01-28 09:38:41
4512,7863,6 weeks 6 days ago,65,161,160,tierrasanta,2019-01-28 09:38:41
3,3,3 years 25 weeks ago,18,0,0,galesburgil,2019-01-28 09:38:41
446,1950,1 year 13 weeks ago,209,2,2,westmilford,2019-01-28 09:38:41
481,925,21 hours 53 min ago,119,85,84,stannsbay,2019-01-28 09:38:41
21,42,12 weeks 7 hours ago,16,1,4,kaikoura,2019-01-28 09:38:41
4539,28675,1 week 16 hours ago,176,79,84,mainetime,2019-01-28 09:38:41
26,647,13 weeks 11 hours ago,24,3,3,newzealand,2019-01-28 09:38:41
95,61,2 years 3 weeks ago,79,1,1,tbfredericton,2019-01-28 09:38:41
none (start up),none (start up),none (start up),2,0,0,tbhawaii,2019-01-28 09:38:41
3436,14916,1 day 10 hours ago,340,19,16,hurunui,2019-01-28 09:38:41
441,2953,14 weeks 11 hours ago,165,31,32,mcs1stopindy,2019-01-28 09:38:41
730,1995,4 weeks 6 days ago,87,40,49,manawatu,2019-01-28 09:38:41
3915,16326,29 weeks 5 days ago,349,10,9,media,2019-01-28 09:38:41
727,3136,3 days 2 hours ago,9,54,56,nb,2019-01-28 09:38:41
2242,5079,7 hours 1 min ago,117,39,31,raglan,2019-01-28 09:38:41
1697,8176,3 days 10 hours ago,74,28,26,upperhutt,2019-01-28 09:38:41
30,87,1 week 15 hours ago,23,7,7,waimakariri,2019-01-28 09:38:41
none (start up),none (start up),none (start up),2,0,0,tb13069,2019-01-28 09:38:41
2491,5595,3 days 17 hours ago,184,29,23,tops,2019-01-28 09:38:41
9833,37567,22 hours 28 min ago,655,1,1,korea,2019-01-28 09:38:41
37,63,3 years 34 weeks ago,33,4,4,tlv,2019-01-28 09:38:41
317,1563,3 days 19 hours ago,134,23,29,timeforall,2019-01-28 09:38:41
579,3717,1 year 32 weeks ago,97,4,4,timetradersnorth,2019-01-28 09:38:41
19,170,3 weeks 4 days ago,53,4,6,togetherwecan,2019-01-28 09:38:41
136,317,24 weeks 6 days ago,41,15,15,tullyarea,2019-01-28 09:38:41
none (start up),none (start up),none (start up),2,0,0,ubuntu,2019-01-28 09:38:41
2010,7472,3 days 15 hours ago,329,5,2,udc,2019-01-28 09:38:41
188,683,5 days 8 hours ago,94,13,19,unityexchange,2019-01-28 09:38:41
none (start up),none (start up),none (start up),2,0,0,uva,2019-01-28 09:38:41
112,217,3 years 1 week ago,36,0,0,villagece,2019-01-28 09:38:41
1913,4686,20 weeks 6 days ago,245,12,10,waikato,2019-01-28 09:38:41
159,324,1 week 6 days ago,62,67,66,wairarapa,2019-01-28 09:38:41
227,372,49 weeks 2 days ago,44,2,3,waitaki,2019-01-28 09:38:41
57,920,29 weeks 8 hours ago,55,3,3,wanaka,2019-01-28 09:38:41
8524,21899,17 hours 58 min ago,596,78,107,wellingtonsouth,2019-01-28 09:38:41
35,61,26 weeks 4 days ago,17,2,4,westprairievillage,2019-01-28 09:38:41
3453,9843,8 hours 53 min ago,409,59,80,westseattle,2019-01-28 09:38:41
1,1,1 year 32 weeks ago,10,0,0,wncw,2019-01-28 09:38:41
20,30,2 years 30 weeks ago,25,0,0,wecompassionatecommunity,2019-01-28 09:38:41
158,1058,1 week 5 days ago,151,10,9,york,2019-01-28 09:38:41
1135,6024,10 hours 16 min ago,179,36,31,addington,2019-01-29 09:36:18
439,1375,2 years 42 weeks ago,207,0,0,aha,2019-01-29 09:36:18
none (start up),none (start up),none (start up),2,0,0,alticultura,2019-01-29 09:36:18
2,3,3 years 13 weeks ago,8,0,0,andersoncommunity,2019-01-29 09:36:18
1,5,1 year 31 weeks ago,8,4,4,ate,2019-01-29 09:36:18
none (start up),none (start up),none (start up),2,0,0,avl,2019-01-29 09:36:18
2179,4889,6 weeks 2 days ago,58,90,81,atx,2019-01-29 09:36:18
7,14,1 year 48 weeks ago,11,0,0,labodunautilus,2019-01-29 09:36:18
74,384,6 weeks 1 hour ago,37,2,2,blackhills,2019-01-29 09:36:18
203,1157,10 hours 30 min ago,179,62,50,ujimaboston,2019-01-29 09:36:18
17422,52418,1 day 58 min ago,169,160,193,brattleboro,2019-01-29 09:36:18
1054,6094,13 hours 9 min ago,173,26,32,bridge2rocks,2019-01-29 09:36:18
10990,26287,6 min 43 sec ago,124,106,119,capeann,2019-01-29 09:36:18
396,913,1 week 2 days ago,50,11,4,care,2019-01-29 09:36:18
5,6,1 year 8 weeks ago,2,0,0,engaging,2019-01-29 09:36:18
834,2044,1 week 21 hours ago,108,31,32,cris,2019-01-29 09:36:18
none (start up),none (start up),none (start up),4,0,0,centraliowa,2019-01-29 09:36:18
56,102,6 weeks 5 days ago,71,14,14,lincolnskillshare,2019-01-29 09:36:18
none (start up),none (start up),none (start up),2,0,0,nzcentralpermaculture,2019-01-29 09:36:18
none (start up),none (start up),none (start up),5,0,0,changexchange,2019-01-29 09:36:18
none (start up),none (start up),none (start up),2,0,0,circlenomic,2019-01-29 09:36:18
none (start up),none (start up),none (start up),8,4,4,citypark,2019-01-29 09:36:18
6311,14403,13 hours 54 min ago,284,126,118,columbia,2019-01-29 09:36:18
6,18,3 weeks 3 days ago,22,6,7,slocanvalley,2019-01-29 09:36:18
625,7712,3 years 39 weeks ago,453,10,9,manasota,2019-01-29 09:36:18
30191,209344,1 week 4 days ago,222,6881,6857,tdn,2019-01-29 09:36:18
380,975,6 days 19 hours ago,18,80,76,cse,2019-01-29 09:36:18
1444,4898,1 day 10 hours ago,58,41,44,communityskillexchange,2019-01-29 09:36:18
69,117,3 days 20 hours ago,93,77,15,richmondcounty,2019-01-29 09:36:18
none (start up),none (start up),none (start up),2,0,0,northfrontenac,2019-01-29 09:36:18
5,22,3 years 21 weeks ago,11,0,0,katytx,2019-01-29 09:36:18
22531,69063,8 hours 7 min ago,328,244,270,crookedriver,2019-01-29 09:36:18
none (start up),none (start up),none (start up),2,0,0,danvilledollars,2019-01-29 09:36:18
361,1080,7 weeks 6 days ago,219,42,38,dc,2019-01-29 09:36:18
405,1285,1 year 9 weeks ago,127,0,0,dhe,2019-01-29 09:36:18
4,5,1 year 25 weeks ago,52,1,1,denton,2019-01-29 09:36:18
645,5341,4 days 13 hours ago,100,33,32,dunedin,2019-01-29 09:36:18
none (start up),none (start up),none (start up),8,0,0,durham,2019-01-29 09:36:18
none (start up),none (start up),none (start up),4,0,0,eann,2019-01-29 09:36:18
227,811,1 week 5 days ago,94,11,14,earn,2019-01-29 09:36:18
5646,19627,1 week 18 hours ago,192,33,32,eastbay,2019-01-29 09:36:18
10,119,2 years 29 weeks ago,6,0,0,fablabchch,2019-01-29 09:36:18
1,1,29 weeks 16 hours ago,5,0,1,fairbanks,2019-01-29 09:36:18
3,12,32 weeks 6 days ago,33,1,1,farnorth,2019-01-29 09:36:18
none (start up),none (start up),none (start up),2,0,0,farmster,2019-01-29 09:36:18
1,1,2 years 19 weeks ago,6,0,0,flourish,2019-01-29 09:36:18
723,1603,3 days 18 hours ago,91,46,49,frederick,2019-01-29 09:36:18
1,1,1 year 37 weeks ago,15,0,0,ghoodcalgary,2019-01-29 09:36:18
none (start up),none (start up),none (start up),1,0,0,karma,2019-01-29 09:36:18
none (start up),none (start up),none (start up),2,0,0,globetable,2019-01-29 09:36:18
21,51,2 weeks 19 hours ago,24,14,5,goodneighborstb,2019-01-29 09:36:18
4,13,3 years 6 weeks ago,14,9,9,scgm,2019-01-29 09:36:18
519,1179,1 week 13 hours ago,52,34,36,greatbay,2019-01-29 09:36:18
10,25,3 years 6 weeks ago,8,0,0,gct,2019-01-29 09:36:18
59,99,47 weeks 17 hours ago,50,12,12,greaterheights,2019-01-29 09:36:18
326,1282,33 weeks 3 days ago,202,102,103,gwtb,2019-01-29 09:36:18
23,111,12 weeks 5 days ago,9,10,10,choptank,2019-01-29 09:36:18
none (start up),none (start up),none (start up),2,0,0,healthyoutcomeswin,2019-01-29 09:36:18
38,47,2 years 5 weeks ago,31,0,0,bc-historyofmoney,2019-01-29 09:36:18
none (start up),none (start up),none (start up),1,0,0,hopexchange,2019-01-29 09:36:18
49,106,1 year 38 weeks ago,42,3,3,hour4ourworld,2019-01-29 09:36:18
25,60,22 weeks 4 days ago,38,19,19,hourcommunityinterfaith,2019-01-29 09:36:18
116,117,1 week 22 hours ago,50,9,9,isiinc,2019-01-29 09:36:18
16,49,21 weeks 19 hours ago,66,8,8,jeffersoncommunity,2019-01-29 09:36:18
117,189,1 year 4 weeks ago,37,3,3,jerseyshore,2019-01-29 09:36:18
2197,11171,1 day 12 hours ago,119,74,84,kaitaia,2019-01-29 09:36:18
none (start up),none (start up),none (start up),3,0,0,kapiti50,2019-01-29 09:36:18
none (start up),none (start up),none (start up),1,0,0,klc,2019-01-29 09:36:18
1,2,3 years 25 weeks ago,4,0,0,khokha,2019-01-29 09:36:18
72,179,24 weeks 1 day ago,120,15,20,letsbmore,2019-01-29 09:36:18
none (start up),none (start up),none (start up),11,0,0,margination,2019-01-29 09:36:18
5,5,1 year 48 weeks ago,6,0,0,meadville,2019-01-29 09:36:18
1382,4331,13 hours 36 min ago,152,42,79,midcanterbury,2019-01-29 09:36:18
161,414,3 years 16 weeks ago,29,1,1,mk,2019-01-29 09:36:18
2,4,2 years 15 weeks ago,5,0,0,mttimeexchange,2019-01-29 09:36:18
117,371,17 weeks 2 days ago,67,10,5,murihiku,2019-01-29 09:36:18
none (start up),none (start up),none (start up),17,0,0,mwdi,2019-01-29 09:36:18
263,2245,5 weeks 5 days ago,467,18,9,nbnneighborhoodnetwork,2019-01-29 09:36:18
31,34,19 weeks 1 day ago,18,9,4,piedmont,2019-01-29 09:36:18
none (start up),none (start up),none (start up),3,0,0,theneighborhoodvillage,2019-01-29 09:36:18
53,152,2 years 41 weeks ago,17,0,0,nerd,2019-01-29 09:36:18
201,344,1 week 3 days ago,127,38,28,nether-swarthmore,2019-01-29 09:36:18
784,2072,21 hours 51 min ago,145,64,60,nrv,2019-01-29 09:36:18
1217,2807,1 day 9 hours ago,362,156,156,nola,2019-01-29 09:36:18
none (start up),none (start up),none (start up),5,2,2,norman,2019-01-29 09:36:18
none (start up),none (start up),none (start up),3,0,0,ncc,2019-01-29 09:36:18
1613,4291,1 week 5 days ago,137,35,26,northwestnewjersey,2019-01-29 09:36:18
31,86,3 years 25 weeks ago,87,0,0,oahu,2019-01-29 09:36:18
60,106,10 weeks 1 day ago,40,32,23,ojai,2019-01-29 09:36:18
16453,49350,3 days 20 hours ago,164,198,198,orexchange,2019-01-29 09:36:18
2778,7396,9 weeks 3 days ago,74,8,8,otaki,2019-01-29 09:36:18
10,23,2 years 45 weeks ago,6,1,1,ourcommunity,2019-01-29 09:36:18
49,253,1 year 49 weeks ago,32,0,0,oscab,2019-01-29 09:36:18
